id,Nome,Energia (kcal),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg)
430,Porco costela assada,402,30.2,30.3,113,0.0,NA,17,14
432,Porco lombo assado,210,35.7,6.4,103,0.0,NA,20,18
435,Porco pernil assado,262,32.1,13.9,110,0.0,NA,18,27
438,Presunto com capa de gordura,128,14.4,6.8,40,1.4,NA,12,17
439,Presunto sem capa de gordura,94,14.3,2.7,36,2.1,NA,23,18
440,Quibe assado,136,14.6,2.7,34,12.9,1.9,16,36
442,Quibe frito,254,14.9,15.8,38,12.3,,22,39
443,Salame,398,25.8,30.6,85,2.9,NA,87,30
445,Toucinho frito,697,27.3,64.3,89,0.0,NA,9,9
446,Bebida láctea pêssego,55,2.1,1.9,5,7.6,0.3,89,9
447,Creme de Leite,221,1.5,22.5,66,4.5,NA,83,8
448,Iogurte natural,51,4.1,3.0,14,1.9,NA,143,11
449,Iogurte natural desnatado,41,3.8,0.3,3,5.8,NA,157,12
450,Iogurte sabor abacaxi,*,*,*,6,*,*,*,*
451,Iogurte sabor morango,70,2.7,2.3,7,9.7,0.2,101,8
452,Iogurte sabor pêssego,68,2.5,2.3,8,9.4,0.7,95,8
453,Leite condensado,313,7.7,6.7,28,57.0,NA,246,22
454,Leite de cabra,66,3.1,3.8,14,5.2,NA,112,10
455,Leite de vaca achocolatado,83,2.1,2.2,6,14.2,0.6,70,13
456,Leite de vaca desnatado pó,362,34.7,0.9,25,53.0,NA,1363,109
457,Leite de vaca desnatado UHT,*,*,*,4,*,NA,134,10
458,Leite de vaca integral,*,*,*,10,*,NA,123,10
459,Leite de vaca integral pó,497,25.4,26.9,85,39.2,NA,890,77
460,Leite fermentado,70,1.9,0.1,2,15.7,NA,72,6
461,Queijo minas frescal,264,17.4,20.2,62,3.2,NA,579,7
462,Queijo minas meia cura,321,21.2,24.6,76,3.6,NA,696,27
463,Queijo mozarela,330,22.6,25.2,80,3.0,NA,875,24
464,Queijo parmesão,453,35.6,33.5,106,1.7,NA,992,33
465,Queijo pasteurizado,303,9.4,27.4,82,5.7,NA,323,16
466,Queijo petit suisse morango,121,5.8,2.8,12,18.5,NA,731,27
467,Queijo prato,360,22.7,29.1,91,1.9,NA,940,28
468,Queijo requeijão cremoso,257,9.6,23.4,74,2.4,NA,259,12
469,Queijo ricota,140,12.6,8.1,49,3.8,NA,253,12
